serial,year_built,reg_date,previous,type,manufacturer,build_place,registration
D4.340,2008,2009.11.12,SE-LYR OE-VPT,Diamond DA 40 D Diamond Star,Diamond Aircraft Industries GmbH,"Wiener Neustadt, Austria",OY-LYR
7152,2011,2011.04.27,(F-WJXF),Eurocopter AS 350B3+ Ecureuil,Eurocopter S.A.,"Marignane, France",OY-HUD
47657,1975,1988.03.30,SE-DFN HB-ISN,McDonnell Douglas DC-9-51,McDonnell Douglas Corporation,"Long Beach, CA, USA",OY-CTB
667,2007,2013.03.20,4K-AZ52 F-WWLA,Aeritalia/SNIAS ATR 42-500,Avions de Transport Regional,"Toulouse, France",OY-CLO
,,2006.03.20,Cancelled NTU,Piper PA-34 Seneca,Piper Aircraft Corporation,,OY-CKS
012A,1986,1990.11.08,YU-ALK VH-AQC (F-WWEC),Aeritalia/SNIAS ATR 42-300,Avions de Transport Regional,"Toulouse, France",OY-CIF
21685,1978,1979.01.19,Cancelled 1980.04.01,Boeing 737-2L9,Boeing Company,"Renton, WA, USA",OY-APJ
,,,Cancelled,,,,OY-9493
40274,2015,2025.08.27,(2-TWCA) A6-FEY,Boeing 737-8KN,Boeing Company,"Renton, WA, USA",OY-JYC
185,1972,2021.09.16,D-0588,Schempp-Hirth Standard Cirrus,Schempp-Hirth Flugzeugbau GmbH,"Kirchheim unter Teck, Germany",OY-XXG
8-182B106,2000,2005.,HB-2347,DG-800B,Glaser-Dirks Flugzeugbau,"Bruchsal, Germany",OY-XWA
R18201624,1980,2007.02.09,D-ESHH(2) N6144S (D-ESTE) N6144S,Cessna R182 Skylane RG,Cessna Aircraft Company,"Wichita, KS, USA",OY-VBG
166,2002,2011.01.18,F-GVTC F-WQBL OY-CKW TC-DGC F-WWVD (N22259) F-WWVD,Dassault Falcon 2000,Dassault Aviation,"Merignac, France",OY-TJF
1817,2021,2021.04.28,Cancelled 2024.03.04,Kubicek BB42Z,Balóny Kubícek,"Brno-Malomérice , Czech Republic",OY-NOO
D4.359,2008,2010.06.29,SE-MBH (OE-VDR) (D-ECCL(2)),Diamond DA 40 D Diamond Star,Diamond Aircraft Industries GmbH,"Wiener Neustadt, Austria",OY-NBH
18-3216,1952,2025.07.07,OO-ACG N66AG OO-ACG OL-L42 L-142 53-4816,Piper PA-18-95 Super Cub (L-18C),Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-LDB
0435,2001,2001.11.29,(F-WWJU),Airbus A340-313,Airbus Industrie,"Toulouse, France",OY-KBA
24464,1989,2007.04.18,RP-C4010 EI-BZE,Boeing 737-3Y0,Boeing Company,"Renton, WA, USA",OY-JTB
,,,,,,,OY-JSW (1)
10905,2007,2007.04.02,Cancelled 2023.09.11,Cameron N-77,Cameron Balloons Ltd,"Bristol, UK",OY-JOH
FR172K0616,1977,1999.09.22,D-EIPI,Reims/Cessna FR172K Hawk-XP,Cessna Aircraft Company,"Reims, France",OY-IPI
4062,2006,2006.04.04,Cancelled 2025.02.05,Eurocopter AS 350B3+ Ecureuil,Eurocopter S.A.,"Marignane, France",OY-HGP
2570,1991,1996.05.20,C-FNJW N32FH,Aérospatiale AS 350B2 Ecureuil,Aérospatiale (SNIAS),"Marignane, France",OY-HGK
