serial,year_built,reg_date,previous,type,manufacturer,build_place,registration,notes,year_reg
60-051,1995.0,2000.09.13,N63BL N5051X,Learjet 60,Learjet,"Wichita, KS, USA",OY-LJH,"N63BL, N5051X, N63BL, OY-LJH  Execujet Scandinavia, D-CHER, ES-PVC, D-CHER, ES-PVC, N247MH",2000-2004
157,1989.0,2004.11.02,F-WQNH EC-EUJ EC-384 F-WWEL,Aeritalia/SNIAS ATR 72-202,Avions de Transport Regional,"Toulouse, France",OY-RTG,"F-WWEL, EC-384, EC-EUJ, F-WQNH, OY-RTG Cimber Air, EI-SLH, scrapped Durham 7.2017",2004-2005
,,,,,,,OY-KCA (2),"C-FWBB, (SE-LOC), (SE-LRC), OY-KCA SAS ""Huge Viking"", LN-RDP, (RP-C3035), LN-RDP, WFU and stored EKCH 12-2007, scrapped in 2013 Sault Ste. Marie, ON Canada",2000-2000
E.2235,1993.0,2007.10.19,HB-IXK G-XAIR G-6-235,BAe Avro 146 Series RJ85,British Aerospace PLC,"Woodford, UK",OY-RCD,"G-6-235, G-XAIR, HB-IXK, OY-RCD Atlantic Airways, forward fuselag used as a cabin trainer for North Cariboo Airways, Calgary, Canada (CYYC)",2007-2014
20195,1990.0,1990.10.09,(PH-EXA),Fokker F27 Mk.050,Fokker Aircraft BV,"Amsterdam, Holland",OY-KAK,"PH-EXA, OY-KAK Scandinavian Commuter ""Turid Viking"", PH-ZDG, P4-LAS, PH-ZDG, YV-2936, HK-",1990-2001
30722,2007.0,2009.06.10,TF-JXE,Boeing 737-8Q8,Boeing Company,"Renton, WA, USA",OY-PSB,"TF-JXE, OY-PSB Primera Air Scandinavia, YL-PSB, G-DRTT",2009-2015
RK-267,2000.0,2009.04.03,N4467X,Beech 400A Beechjet,Beech Aircraft Corporation,"Wichita, KS, USA",OY-JJO,"N4467X, OY-JJO JJO Invest ApS, N85HP, SP-TAT",2008-2012
F17201332,1975.0,1975.07.31,(D-EOGA),Reims/Cessna F172M Skyhawk,Cessna Aircraft Company,"Reims, France",OY-BIF,"(OY-BIF), SE-GKT, damaged 25.7.1996 Njutånger, SE-GKT, OH-GKT",
F17201332,1975.0,1975.07.31,(D-EOGA),Reims/Cessna F172M Skyhawk,Cessna Aircraft Company,"Reims, France",OY-BIF,"(D-EESI), OY-BIF, SE-GKZ",1975-1975
4698094,2018.0,2018.12.20,N80104,Piper PA-46-600TP M600,"Piper Aircraft, Inc","Vero Beach, FL, USA",OY-MPV,"N80104, OY-MPV",2018
53001,1991.0,1991.02.20,(SE-DIP),McDonnell Douglas MD-81,McDonnell Douglas Corporation,"Long Beach, CA, USA",OY-KHS,"(SE-DIP), OY-KHS SAS ""Jarl Viking"", LN-RMT, N486DN, wfu and stored for parts 20.9.2013",1991-1992
53001,1991.0,1991.02.20,(SE-DIP),McDonnell Douglas MD-81,McDonnell Douglas Corporation,"Long Beach, CA, USA",OY-KHS,"N6202D, (OY-KHS) SAS , SE-DIP ""Margret Viking"", ""Margaret Viking"", N542PT, YA-KMO",(1991)
,,,Cancelled,,,,OY-9240,"9-240, OY-9240",2002
366,1996.0,1996.05.08,Cancelled 2012.11.13,Lindstrand LBL 77A,Lindstrand Balloons Ltd,"Oswestry, UK",OY-GOP,"OY-GOP ""Dansk folkeferie"", LY-OEQ",1996-2012
1216,,2017.07.31,F-WWLU,"Aeritalia/SNIAS ATR 42-500 ""600 version""",Avions de Transport Regional,"Toulouse, France",OY-YCF#1,"F-WWLU, (OY-YCF), F-WKVG, N216NX, N401SV",(2017)
1527,2018.0,2018.11.27,F-WWEG,Aeritalia/SNIAS ATR 72-212A 600 Version,Avions de Transport Regional,"Toulouse, France",OY-RUV,"F-WWEG, OY-RUV, DAT",2018
F17201446,1976.0,1976.05.06,Cancelled 2018.11.12,Reims/Cessna F172M Skyhawk,Cessna Aircraft Company,"Reims, France",OY-BUE,scrapped,1976-2018
3142,2000.0,2018.11.08,D-BMAD I-AIRX D-BDXA,Dornier 328-300,Dornier GmbH,"Oberpfaffenhofen, Germany",OY-NCI,"D-BDXA, I-AIRX, D-BMAD (OY-NCI reserved), D-BMAD(2), OY-NCI, Sun Air","(2015)
2018"
8318,2018.0,2018.07.06,(D-AVZW),Airbus A321-251N,Airbus Industrie,"Hamburg/Finkenwerder, Germany",OY-PAF(2),"D-AVZW, OY-PAF Primera Air, OE-IHS, CS-TJN",2018-2018
8145,2018.0,2018.04.16,(D-AZAK),Airbus A321-251N,Airbus Industrie,"Hamburg/Finkenwerder, Germany",OY-PAA(2),"D-AZAK, OY-PAA Primera Air, 
OE-IHV, CS-TJM",2018-2018
19000067,2007.0,2018.03.26,TC-YAT EI-FKL JY-EMF PT-SJG,EMBRAER ERJ 190-200,EMBRAER,"Sao José dos Campos, Brazil",OY-ZAT,"PT-SJG, JY-EMF, EI-FKL, TC-YAT, OY-ZAT, XT-ABV",2018-2018
7419,2000.0,2000.08.24,C-FMOS,Bombardier CL-600-2B19 Regional Jet.100,Bombardier Inc Canada,"Mirabel, Montreal, Canada",OY-RJB,"C-FMOS, OY-RJB Cimber Air A/S, wfu 2012. Stored Copenhagen, N419AV, stored Canada",2000-2016
30688,2007.0,2009.06.04,TF-JXD,Boeing 737-8Q8,Boeing Company,"Renton, WA, USA",OY-PSA,"N1786B, TF-JXD, OY-PSA Primera Air Scandinavia, OE-IBG, SP-ESE",2009-2018
6358,1964.0,1965.04.12,Cancelled 2018.10.10,Schleicher Ka 6CR Rhönsegler,"Schleicher Segelflugzeugbau, A.","Poppenhausen, W.Germany",OY-DMX,"Aalborg Aero Sport, competition number 26, D-",1965-2018
8709,2018.0,2018.10.11,Cancelled,Witthøfft NX-77C,,"Frederikssund, Denmark",OY-NIW,,2018
12236,2018.0,2018.10.11,Cancelled,Cameron TR-77 Racer-77,Cameron Balloons Ltd,"Bristol, UK",OY-LOD,,2018
29,2018.0,2018.10.05,Cancelled,Schempp-Hirth Discus 2c FES,Schempp-Hirth Flugzeugbau GmbH,"Kirchheim unter Teck, Germany",OY-XXS,,2018
,,,,,,,OY-MAF (1),"N1786B, (OY-APC), OY-MAF Maersk Air, N8128R, JA359K, N693UA",1996-2002
RC-39,2010.0,2018.11.21,N71956 N439HB,Hawker 4000,Hawker Beechcraft Corporation,"Wichita, KS, USA",OY-JJS,"N439HB, N71956, OY-JJS",2018
167,2003.0,2003.03.13,Cancelled 2017.09.15,Schempp-Hirth Discus 2A,Schempp-Hirth KG,"Kirchheim unter Teck, W.Germany",OY-XXN,"Competition number 2A, D-8167",2003-2017
29579,2009.0,2009.05.29,Cancelled 2018.04.18,Schleicher ASW 27-18E (ASG 29E),"Schleicher Segelflugzeugbau, A.","Poppenhausen, W.Germany",OY-CGX,"OY-CGX, D-KECG(3)",2009-2018
18280099,1998.0,2012.08.08,N182HT N982RA,Cessna 182S Skylane,Cessna Aircraft Company,"Independence,KS, USA",OY-NAC,"N182HT, OY-NAC, D-EJUS(3)",2012-2018
15240,2009.0,2009.07.15,Cancelled 2018.08.28,Bombardier CL-600-2D24 RJ-900,Bombardier Inc Canada,"Mirabel, Montreal, Canada",OY-KFH,"C-GZQU, OY-KFH SAS ""Ella Viking"", EI-GED",2009-2018
1519,2018.0,2018.10.05,F-WWEW,Aeritalia/SNIAS ATR 72-212A 600 Version,Avions de Transport Regional,"Toulouse, France",OY-RUN,"F-WWEW, OY-RUN",2018
2009-05/15,2013.0,2018.09.25,Cancelled,Rihn DR-109,"Rihn, Dan","Sunds, Denmark",OY-VAD,,"2013M
2018"
25,1986.0,2018.09.05,SE-UVE D-KJWD D-KCGE,Schempp-Hirth HS-6 Janus CM,Schempp-Hirth Flugzeugbau GmbH,"Kirchheim unter Teck, Germany",OY-XVE(2),"D-KCGE, D-KJWD, SE-UVE, OY-XVE",2018
4304,1983.0,2007.03.15,D-7753,Rolladen-Schneider LS4,Rolladen-Schneider OHG,"Egelsbach, W.Germany",OY-TXA,"D-7753, OY-TXA competition number KR, LY-TXA, OY-TXA competition number PLU","2007-2012, 
2018"
15246,2009.0,2009.10.19,Cancelled 2018.08.29,Bombardier CL-600-2D24 RJ-900,Bombardier Inc Canada,"Mirabel, Montreal, Canada",OY-KFL,"OY-KFL SAS ""Regin Viking"", EI-GEC",2009-2018
15244,2009.0,2009.10.07,C-GBSZ C-GIAW,Bombardier CL-600-2D24 RJ-900,Bombardier Inc Canada,"Mirabel, Montreal, Canada",OY-KFK,"C-GIAW, C-GBSZ, OY-KFK SAS ""Hardeknud Viking"", EI-GEF",2009-2018
15231,2009.0,2009.05.06,Cancelled 2018.07.09,Bombardier CL-600-2D24 RJ-900,Bombardier Inc Canada,"Mirabel, Montreal, Canada",OY-KFF,"C-GZQO, OY-KFF SAS ""Karl Viking"", EI-GEB ""Karl Viking""",2009-2018
7386,1987.0,2018.08.30,G-IWRB G-VIPT N109SM N109AZ JA9694 N1ZN,Agusta A.109A-II,"Agusta, Costr. Aeronaut. Giovanni","Cascina Costa, Italy",OY-HZE(2),"N1ZN, JA9694, N109AZ, N109SM, G-VIPT, G-IWRB, OY-HZE",2018
31177,2018.0,2018.08.16,Cancelled,Schleicher ASH 31 Mi,"Schleicher Segelflugzeugbau, A.","Poppenhausen, W.Germany",OY-GBX,,2018
471,2013.0,2018.08.24,Cancelled,Van's RV-8,Van's Aircraft Inc,"Brønderslev, Denmark",OY-KEJ,"OY-0002, OY-0203, OY-KEJ","2013
2018"
,,,,,,,OY-FLW (1),"F-GCTB, F-GVJV, F-ODGU, N6VJ, (OY-FLW(1)), N6VJ, LN-HSC, N6VJ",(2003)
,,,Cancelled,,,,OY-1037,,
3449234,2001.0,2005.03.03,N371C N53436,Piper PA-34-220T Seneca 5,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-SMD,"N371C, OY-SMD Skan Service, I-ROVE, OK-INC",2005-2007
1204,2015.0,2016.07.18,HK-5128/FAC 1195 F-WWLH,"Aeritalia/SNIAS ATR 42-500 ""600 version""",Avions de Transport Regional,"Toulouse, France",OY-YBP,"F-WWLH, HK-5128X, HK-5128, OY-YBP, XA-UYC, OY-YBP, XA-UYC, OY-YBP, HK-5282","2016-2016, 2018-2018"
950280,2005.0,2018.12.18,N44FX,Rihn DR-107 One Design,"Rihn, Dan",USA,OY-ONE(1),"N26523, D-IGGK, OY-ONE, (4X-COR), N501MG, 4X-CMG, N520BH, N501WJ",1995-2000
1465,2018.0,2018.07.26,Cancelled,Kubícek BB9E,Balóny Kubícek,"Brno-Malomérice , Czech Republic",OY-NON,,2018
6507039,1994.0,1999.12.15,D-CACM N12643,Cessna 650 Citation VII,Cessna Aircraft Company,"Wichita, KS, USA",OY-GGG,"N12643, D-CACM, OY-GGG  Grundfos/Air Alsie, D-CBIZ, N521RF, CN-SRA",1999-2007
28323,,2002.,LN-RPD SE-DYA (LN-RPM) N1786B,Boeing 737-883,Boeing Company,"Renton, WA, USA",OY-KLD,"N1786B, (LN-RPM), SE-DYA, LN-RPD, (OY-KLD), EI-CXU, EC-IVV,  (D-AGSA)OY-CJS SAS, stored Budapest 5.2010 - 8.2010, D-AGSA, G-CHOB, HL8292, YR-BMP",
208B0584,1996.0,1997.04.15,G-MART,Cessna 208B Grand Caravan,Cessna Aircraft Company,"Wichita, KS, USA",OY-PBF,"N52642, N1126L, G-MART, OY-PBF Benair, LN-PBF,  F-HOJB, EC-MZA",1997-2001
154,2001.0,2002.01.23,(F-WWVL),Dassault Falcon 2000,Dassault Aviation,"Merignac, France",OY-CKI,"F-WWVL, OY-CKI Alsie A/S, LN-RTG, F-HMDD, VT-ARO(2)",2002-2012
28-25583,1969.0,2004.07.08,N8761N,Piper PA-28-140 Cherokee B,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-TBL,"N8761N, OY-TBL, RA-2390G, RA-2574G",2004-2015
,,2010.12.09,LN-RET LN-TSI N89735,Cessna 140,Cessna Aircraft Company,"Wichita, KS, USA",OY-RET,"N89735, LN-TSI, LN-RET, (OY-RET), (D-EATD(2)), D-ESLS(2)",
91,1991.0,1994.07.13,SP-FTK,Let L 410 UVP-E10,Let Narodny Podnik,,OY-LET,"SP-FTK, OY-LET, S9-TBM, CP-2349, TI-BGP",1994-2003
5624,2005.0,2006.06.22,N604GD C-GLXD,Bombardier Challenger 604,Bombardier Inc Canada,"Downsview, Ontario, Canada",OY-MKS,"C-FFMS, N604GD, OY-MKS Execujet Scandinavia A/S, HB-JGR, 9H-JGR, T7-VIP",2006-2007
31121,2008.0,2013.09.03,I-AWTD N798AA N139PH OH-HCQ,AgustaWestland AW139,AgustaWestland,"Cascina Costa, Italy",OY-HTJ,"OH-HCQ, N139PH, N798AA, I-AWTD, OY-HTJ Bel Air Aviation Invest A/S, I-AWXY, F-HBSB, I-AWTP. EC-MUN",2013-2015
101041,1983.0,1983.03.29,Cancelled 2010.06.22,Centrair 101 AP Pégase,Centrair SA,"le Blanc, France",OY-XMM,"Competition number PT, MM
McCready Gruppen, D-8449, OM-8449",1983-2010
3080,1978.0,1978.03.20,Cancelled 2002.03.21,Grob G 103 Twin Astir,"Grob Flugzeugbau, Burkhart","Mindelheim, W.Germany",OY-XIO,"OY-XIO competition number F7, OH-934, OK-3456, OM-2807",1978-2002
4-222,1988.0,2009.06.26,PH-831 (D-KIDG),Glaser-Dirks DG-400,Glaser-Dirks Flugzeugbau,"Bruchsal, Germany",OY-RXD,"(D-KIDG), PH-831, OY-RXD, OM-0404",2009-2017
28032,2001.0,2018.02.23,G-CKAK,Schleicher ASW 28,"Schleicher Segelflugzeugbau, A.","Poppenhausen, W.Germany",OY-XPV(2),"BGA4935/KAK, G-CKAK, OY-XPV(2)",2018
185,2006.0,2007.03.14,LY-GNJ,LAK-17AT,Sportiné Aviacija,"Prienai, Lithauania",OY-KKX,"LY-GNJ, OY-KKX EB-Avionics, competition number AT, D-KEUD",2007-2017
F406-0046,1989.0,1995.09.28,G-BSRY PH-ALP (F-WZDU),Reims/Cessna F.406 Caravan II,Cessna Aircraft Company,"Reims, France",OY-PED,"F-WZDU, PH-ALP, G-BSRY, OY-PED, 5H-TZE, D-IOOO(4)",1995-1996
FR182-0038,1979.0,1998.09.18,D-EIYI,Reims/Cessna FR182 Skylane RG,Cessna Aircraft Company,"Reims, France",OY-GHC,"D-EIYI, OY-GHC Marke-Rent ApS, D-ESRF(3)",1998-2017
0603-82,2007.0,2011.05.24,Cancelled 2018.03.05,Dyn'Aero MCR 4S,Dyn'Aéro S.A.,Herning,OY-PIA,"OY-PIA, PH-REH",2007-2018
46252,1972.0,1978.04.06,D-KEAS,Scheibe SF 25B Falke,Scheibe Flugzeugbau GmbH,"Dachau, W.Germany",OY-XIU,"D-KEAS, OY-XIU, Museum, Stauning",1978-2010
1325,,1978.,D-ECEZ N3332K,Globe GC-1B Swift,Globe Aircraft Corporation,"Fort Worth, TX, USA",OY-EFG,"C/n 1325: N3332K, D-ECEZ + c/n 1469: N3776K, HB-EUS, OE-ANW, D-EAWS. OY-EFG",
506/C,2018.0,2018.06.20,Cancelled,Partenavia P.68C,Partenavia Costruzioni Aeronautiche,"Casoria, Italy",OY-SYS,,2018
P-463,1969.0,1970.05.15,Cancelled 1999.05.20,SZD-9bis Bocian 1E,Polskie Zaklady Lotnicze,"Jezow Sudecki, Poland",OY-FVX,"OY-FVX competition number (E3), (PH-1177), PH-1413/OY, OY-FVX","1970-1999
2018"
159,1947.0,1947.10.09,Cancelled 1957.05.15,S.A.I. KZ VII U-4 Lærke,Skandinavisk Aero Industri A/S,"Kastrup, Denmark",OY-DTY,"OY-DTY, D-EGAH, OY-DTY, damaged 2.1.1999 Viborg, N159KZ, crashed 29.7.2005 Elko, Nevada, NX159KZ, first flight after rebuilt 28.7.2016, OY-DTY","1947-1957
1998-2002
2018"
32-7540091,1975.0,1975.03.24,Cancelled 1982.06.29,Piper PA-32-300 Cherokee Six,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-TOP,"OY-TOP, G-BKEK, G-FAVS, EC-MXS",1975-1982
525-0258,1998.0,2002.12.19,(OY-SDL) N108CR N5203J,Cessna 525 CitationJet,Cessna Aircraft Company,"Wichita, KS, USA",OY-SML,"N108CR, OY-SML Skan Service ApS, (D-ISML), D-IMCJ",2002-2018
167/545,1992.0,2018.05.07,D-KJOE PH-959,Schempp-Hirth Ventus cT,Schempp-Hirth Flugzeugbau GmbH,"Kirchheim unter Teck, Germany",OY-XWC,"PH-959, D-KJOE, OY-XWC,",2018
3E301,1988.0,1988.07.21,Cancelled 2018.02.13,Glaser-Dirks DG-300 Elan,Glaser-Dirks Flugzeugbau,"Begunje, Yugoslavia",OY-XPZ,"Competition number PZ, Holstebro Svæveflyveklub. Damaged in hangar fire 5.3.2009 Holstebro. Restored 2010, D-8924",1988-2018
4-227,1988.0,2007.12.04,HB-2134 (D-KIDG),Glaser-Dirks DG-400,Glaser-Dirks Flugzeugbau,"Bruchsal, Germany",OY-LXN,"(D-KIDG), HB-2134, OY-LXN Dan-Glide ApS, competition number DG, D-KTDG(3)",2007-2018
3008,1977.0,1977.11.17,Cancelled 2001.03.16,Grob G 103 Twin Astir,"Grob Flugzeugbau, Burkhart","Mindelheim, W.Germany",OY-XHV,"OY-XHV competition number X3, OK-1234, F-CAEV",1977-2001
15073255,1972.0,1975.03.17,N5355Q,Cessna 150L,Cessna Aircraft Company,"Wichita, KS, USA",OY-RPI,"N5355Q, OY-RPI, SE-IRA, S5-DDF, YU-DPY",1975-1984
2844045,2001.0,2008.01.15,N413PA N50104,Piper PA-28R-201 Arrow III,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-BWH,"N50104, N413PA, OY-BWH, I-CNTB",2007-2016
637,1976.0,1976.03.24,Cancelled 2018.03.06,Schempp-Hirth HS-4 Standard Cirrus 75,Schempp-Hirth KG,"Kirchheim unter Teck, W.Germany",OY-XDC,"Competition number P1, E1, OK-7757",1976-2018
,,,,,,,OY-PBG (2),"(F-WZDX), PH-FWE, (EC-177), EC-FOH, PH-FWE, G-TINI, OY-PBG Benair, OH-OTL, D-ITTT(3)",1998-2005
10426,1969.0,1969.12.18,PH-FPA,Fokker F.27 Friendship Srs. 500,Fokker-VFW BV,"Amsterdam, Holland",OY-APB,"OY-APB, G-MSKE, Maersk Air, OY-APB Sterling.com, stored Chateauroux-Deols, France (LFLX) 2008-10, F-HCOA, N375CK","1996-1999
2001-2010"
10426,1969.0,1969.12.18,PH-FPA,Fokker F.27 Friendship Srs. 500,Fokker-VFW BV,"Amsterdam, Holland",OY-APB,"PH-FPA, (OY-DKS), OY-APB Maersk Air, crashed during touch-and-go training 27.12.1969 Rønne. TT 47 hrs/35 landings.",1969-1970
525B-0194,2007.0,2008.01.18,Cancelled 2018.05.24,Cessna 525B Citationjet CJ3,Cessna Aircraft Company,"Wichita, KS, USA",OY-WWW,"N52645, OY-WWW Weibel Scientific A/S,N116AA",2008-2018
4178,1983.0,2002.03.20,D-3504,Rolladen-Schneider LS4-a,Rolladen-Schneider OHG,"Egelsbach, Germany",OY-MXE,"D-3504, OY-MXE, competition number ME, G-CLVW",2002-2018
,,2004.04.16,Cancelled NTU,Scheibe SF 25C Falke,Scheibe Flugzeugbau GmbH,,OY-XUR,"Fyns Svæveflyveklub, competition number UR, D-4559",2006-2018
5969,1981.0,2018.05.25,G-CKCG 86+36,MBB Bo 105P,Messerschmitt-Bölkow-Blohm G.m.b.H.,"Ottobrunn, W. Germany",OY-HBO(1),"OY-HBO, SE-HFU, +7.5.94 2 km N for Örnsköldsvik",1975-1976
18281060,2001.0,2006.07.06,N292LB,Cessna 182T Skylane,Cessna Aircraft Company,"Independence,KS, USA",OY-CSI,"N292LB, OY-CSI EG Aviation ApS, HB-TOP",2006-2018
15206,2008.0,2008.11.28,C-GIAW,Bombardier CL-600-2D24 RJ-900,Bombardier Inc Canada,"Mirabel, Montreal, Canada",OY-KFA,"C-GIAW, OY-KFA SAS ""Johan Viking"", ES-ACM",2008-2018
15206,2008.0,2008.11.28,C-GIAW,Bombardier CL-600-2D24 RJ-900,Bombardier Inc Canada,"Mirabel, Montreal, Canada",OY-KFA,"(OY-KFA), OY-KHA SAS ""Ivar Viking"", LN-AEO, G-BMGS,  G-VOYG, cancelled 1999. Broken up Kemble 1999",
14-486,1942.0,2018.04.18,SE-FUD(2) Fv16068 FE752 42-949,Noorduyn AT-16 Harvard IIB,North American Aviation Inc,"Montreal, Que, Canada",OY-FUD,"42-0949, FE752, Fv16068, SE-FUD, OY-FUD",2018
4247,1982.0,2018.05.04,D-4543,Rolladen-Schneider LS4-a,Rolladen-Schneider OHG,"Egelsbach, W.Germany",OY-HXL,"D-4543, OY-HXL competition number HL",2018
179,1960.0,2018.04.20,EI-EPN G-AYEV F-BERH F-OBTH F-OBRH,Jodel DR 1050 Ambassadeur,Société Aeronautique Normande,"Bernay, France",OY-LAU,"F-OBRH, F-OBTH, F-BERH, G-AYEV, EI-EPN, OY-LAU",2018
12188,2018.0,2018.04.20,Cancelled,Cameron Sport-90,Cameron Balloons Ltd,"Bristol, UK",OY-OOB,,2018
878,1998.0,2018.06.08,B-2370 D-AVZF,Airbus A321-231,Airbus Industrie,"Hamburg/Finkenwerder, Germany",OY-RUU,"D-AVZF, B-2370, OY-RUU DAT",2018
18255129,1964.0,1982.03.15,D-EMQI N3729U,Cessna 182G Skylane,Cessna Aircraft Company,"Wichita, KS, USA",OY-BJI,"N3729U, D-EMQI, (OY-BJI), D-EMQI, W/O 27.7.2008 near Damme",(1982)
F150-0087,1966.0,1967.01.26,Cancelled,Reims/Cessna F150G,Cessna Aircraft Company,"Reims, France",OY-EGJ,damaged 20.4.2018,1967
163,2007.0,2021.11.16,OE-HED N163GA G-ZZOO M-ZZOO G-ZZOO N680RW SX-SEA N35BP N60GA 4X-CVJ,Gulfstream 200,Israel Aircraft Industries,"Tel Aviv, Israel",OY-GEC(1),"OY-GEC, N62624, PP-BCH",1993-1996
33701349/F337-0030,,1995.08.04,SE-GOK D-ICEL N1749M,Reims/Cessna F.337F Super Skymaster,Cessna Aircraft Company,"Reims, France",OY-GBK,"(N1749M), D-ICEL, SE-GOK, (OY-GBK Klippefly), SP-KFR, RA-67580",(1995)
40.023,2001.0,2010.02.23,D-EBIN(3),Diamond DA 40-180 Diamond Star,Diamond Aircraft Industries GmbH,"Wiener Neustadt, Austria",OY-EVM,"D-EBIN, OY-EVM H. H. Innovation ApS, SE-MLD",2010-2019
15224,2009.0,2009.04.28,Cancelled 2018.04.05,Bombardier CL-600-2D24 RJ-900,Bombardier Inc Canada,"Mirabel, Montreal, Canada",OY-KFE,"SAS ""Ingemar Viking"", EI-GEA",2009-2018
1401,2018.0,2018.03.06,Cancelled,Kubicek BB42Z,Balóny Kubicek spol s.r.o.,"Brno-Malomérice , Czech Republic",OY-NOT,,2018-
504/C,2018.0,2018.03.01,Cancelled,Partenavia P.68C,Partenavia Costruzioni Aeronautiche,"Casoria, Italy",OY-SNS,Bio Flight,2018
,1946.0,1946.09.13,Cancelled 1962.01.03,S.A.I. KZ III U-2,Skandinavisk Aero Industri A/S,"København, Denmark",OY-DSY,"OY-DSY, D-EHPE, OY-DSY","1946-1962, 2018"
0043,2001.0,2012.01.17,N7174P,Cirrus SR 22,Cirrus Design Corporation,"Duluth, MN, USA",OY-VBI,"N7174P, OY-VBI Busimport.dk ApS, D-EGEW",2012-2018
49436,1986.0,1986.09.24,Cancelled 1997.03.12,McDonnell Douglas MD-81,McDonnell Douglas Corporation,"Long Beach, CA, USA",OY-KHC,"OY-KHC SAS ""Faste Viking"", N427NV, Broken up 2018",1986-2010
666,1976.0,1976.07.16,Cancelled 2017.11.27,Schempp-Hirth HS-4 Standard Cirrus 75B,Schempp-Hirth KG,"Kirchheim unter Teck, W.Germany",OY-XGO,"Competition number Z4, GO, OK-1776",1976-2017
RC-64,2011.0,2018.07.13,N448CC N446CC N464HB,Hawker 4000,Hawker Beechcraft Corporation,"Wichita, KS, USA",OY-JJK,"N464HB, N446CC, N448CC, OY-JJK",2018
C.J.2,1943.0,1945.09.22,OY-56,Hütter H 28 Kurier,Hütter,"København, Denmark",OY-DOX,"OY-56, OY-DOX, damaged 27.7.1950 Gl. Rye, restored in USA, OY-DOX",1945-1963
,1963.0,1963.05.29,Cancelled,SZD-25A Lis,Polskie Zaklady Lotnicze,"Krosno, Poland",OY-DVX,"OY-DVX Competition number 40, DaSK,  LN-",1963-2017
,1959.0,1959.03.21,Cancelled 2003.10.29,Schleicher Ka 4 Rhönlerche II,"Schleicher Segelflugzeugbau, A.","Poppenhausen, W.Germany",OY-BVX,"OY-BVX, CofA expired, LY-",1959-2003
T20608651,2006.0,2006.,N6063P,Cessna T206H Turbo Stationair,Cessna Aircraft Company,,OY-SNV,"N6063P, (OY-SNV), E7-",
402C0461,1981.0,1985.02.27,ZS-KUU N6837C,Cessna 402C,Cessna Aircraft Company,"Wichita, KS, USA",OY-SUN,"N6837C, ZS-KUU, OY-SUN Kampsax Geoplan, COWI A/S, D-IYYY(3), HK-5245",1985-2017
578,1985.0,2010.04.16,HB-KAY,SOCATA TB-20 Trinidad,SOCATA,"Tarbes, France",OY-NAY,"HB-KAY, OY-NAY, SE-MLN",2010-2018
35818,2007.0,2018.02.02,N530LA PP-ACQ N422LA JA633J,Boeing 767-346F,Boeing Company,"Everett, WA, USA",OY-SRW,"JA633J, N422LA, PP-ACQ, N530LA, OY-SRW",2018
1440,2017.0,2017.11.20,(F-WWEL),Aeritalia/SNIAS ATR 72-212A 600 Version,Avions de Transport Regional,"Toulouse, France",OY-YCD,"F-WWEL, OY-YCD, RP-C7201",2017-2018
23631,1987.0,2007.01.31,N371FA N172AW (N3282R),Boeing 737-33A,Boeing Company,"Renton, WA, USA",OY-JTA,"N3282R, N172AW, N371FA, OY-JTA  Jettime, G-CKTI, 2-PSFI, broken up Bournemouth, UK (EGHH) 2020",2006-2017
198,2013.0,2013.07.26,(F-WWUS),Dassault Falcon 7X,Dassault Aviation,"Merignac, France",OY-FWO,"F-WWUS, OY-FWO Anpartsselskabet af 19.9.2006, Brande, SE-DJI(3)",2013-2018
8195,2018.0,,D-AVZR,Airbus A321-251N,Airbus Industrie,"Hamburg/Finkenwerder, Germany",OY-PAB(1),"F-WZDX, G-BPSX, N443AB, AP-BFB, PH-PHO, OY-PAB, D-ILIM, OO-LMO, N861FT, G-RVLY",1998-1999
8145,2018.0,2018.04.16,(D-AZAK),Airbus A321-251N,Airbus Industrie,"Hamburg/Finkenwerder, Germany",OY-PAA(1),"PH-EXX, JA8889, OY-PAA NAC Nordic Aviation Contractor (NAC), SE-LJY, HP-9800",2008-2008
138,2014.0,2018.01.19,G-TECD,Tecnam P2006T,"TECNAM S.r.l., Costruzioni Aeronautiche","Napoli, Italy",OY-GBC,"G-TECD, OY-GBC GreyBird Pilot Academy",2018
208B0351,1993.0,2018.05.17,ZS-ATP N100US N1114K,Cessna 208B Grand Caravan,Cessna Aircraft Company,"Independence,KS, USA",OY-FDK,"N1114K, N100US, ZS-ATP, OY-FDK",2018
27834,1995.0,2009.05.14,G-OGBE OY-MAS,Boeing 737-3L9,Boeing Company,"Renton, WA, USA",OY-JTE,"OY-MAS Maersk Air, G-OGBE, OY-JTE Jettime, G-SWRD",2009-2018
,,,,,,,OY-NEW (2),"F-WWNC, OY-NEW",2018
,,,Cancelled,,,,OY-1019,Destroyed,
19000230,2008.0,2017.,TC-YAJ EI-FCM B-3131 PT-SIB,EMBRAER ERJ 190-100LR,EMBRAER,"Sao José dos Campos, Brazil",OY-ZAJ,"PT-SIB, B-3131, EI-FCM, TC-YAJ, OY-ZAJ, VP-BZI",
