serial,year_built,reg_date,previous,type,manufacturer,build_place,registration,notes,year_reg
773,1987.0,1995.02.28,C-FAMK (G-31-773),BAe Jetstream 3102,British Aerospace PLC,"Prestwick, UK",OY-SVO,"G-31-773, C-FAMK, OY-SVO Sun-Air, SE-LGH, G-EIGG, ES-PJD, SE-LGH, YV-661T",1995-1998
,,,,,,,OY-XET (2),"BGA2347/DSQ, D-0813, D-9813, OY-XET Competition number A4. Donated to DaSK",2025
1323,,2025.09.03,ES-ATL CS-DJH F-WTDK F-WWEF,Aeritalia/SNIAS ATR 72-212A 600 Version,Avions de Transport Regional,"Toulouse, France",OY-NZK,"F-WWEF, F-WTDK, CS-DJH, ES-ATL, OY-NZK, 3B-NCV",2025
11146,2006.0,2014.07.03,OO-RWJ,Robinson R44 Raven II,Robinson Helicopter Company  Inc,"Torrance, CA, USA",OY-HYO,"OO-RWJ, OY-HYO Tandlægehuset Odense ApS, ZT-HJF",2014-2025
,,,,,,,OY-HST (2),"ES-TOP, OY-HST, ZT-HAE",2021-2025
2842253,2005.0,2005.12.21,N31258,Piper PA-28-161 Warrior III,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-PHK,"N31258, OY-PHK Air Alpha, Thorsø af 2007 ApS, OO-SUN",2005-2025
,2002.0,2016.,VN-B212 F-WWEH,Aeritalia/SNIAS ATR 72-212A,Avions de Transport Regional,"Toulouse, France",OY-YBD,"F-WWEH, VN-B212, (OY-YBD), 9S-AAD, 2-SAAD, C-GKFY",(2016)
,1980.0,1991.07.02,G-BHAG (D-KDGO),Scheibe SF 25E Super Falke,Scheibe Flugzeugbau GmbH,"Dachau, W.Germany",OY-XTO,"D-KDGO, G-BHAG, OY-XTO, competition number TO, exported",1991-2025
008,2025.0,2025.11.04,Cancelled,Aura Integral R,Aura Aero,"Cugnaux, France",OY-WTF,,2025
,,,,,,,OY-VKA (1),"D-AVZO, F-WWDQ, OY-VKA MyTravel Airways, Thomas Cook Airlines Scandinavia A/S, G-TCDY, C-GTXY, G-TCDY, F-WTAJ, 6V-AMC, WFU at Dakar 2025, LY-BQY",2003-2015
19000530,2012.0,2025.09.12,PR-AXF,EMBRAER ERJ 190-200LR (195LR),EMBRAER,"Sao José dos Campos, Brazil",OY-NZP,"PR-AXF, OY-NZP",2025
19000471,2011.0,2025.09.03,PR-AYX,EMBRAER ERJ 190-200LR (195LR),EMBRAER,"Sao José dos Campos, Brazil",OY-NZO,"PR-AYX, OY-NZO",2025
1121,2013.0,2025.06.12,ES-ATG OY-JZB ES-ATG OY-JZB F-WWEJ,Aeritalia/SNIAS ATR 72-212A 600 Version,Avions de Transport Regional,"Toulouse, France",OY-NZG,"F-WWEJ, OY-JZB ""Palnetoke Viking"", ES-ATG, 2019 stored EKBI, OY-JZB NAC, ES-ATG, OY-NZG, HK-5465 / FAC-1169",2024-2025
1120,2013.0,2014.03.20,(OY-EBW(2)) (JA01LK) F-WKVH F-WWEI,Aeritalia/SNIAS ATR 72-212A 600 Version,Avions de Transport Regional,"Toulouse, France",OY-JZC,"F-WWEI, (JA01LK), (OY-EBW(2)), F-WKVH, OY-JZC SAS ""Torver Viking"", ES-ATE, OY-NZF, HK-5466 / FAC1167",2014-2017
1120,2013.0,2025.08.28,ES-ATE OY-JZC (JA01LK) F-WKVH F-WWEI,Aeritalia/SNIAS ATR 72-212A 600 Version,Avions de Transport Regional,"Toulouse, France",OY-NZF,"F-WWEI, (JA01LK), (OY-EBW(2)), F-WKVH, OY-JZC SAS ""Torver Viking"", ES-ATE, OY-NZF, HK-5466 / FAC1167",20242025
,2009.0,2025.02.24,N919AZ F-WNUJ G-VZON F-WWEW,Aeritalia/SNIAS ATR 72-212A,Avions de Transport Regional,"Toulouse, France",OY-NZE,"F-WWEW, G-VZON, F-WNUJ, N919AZ, OY-NZE",2025-2025
2817,2006.0,2013.10.01,M-ABFP VT-KFL F-WWDJ,Airbus A320-232,Airbus Industrie,"Toulouse, France",OY-KAW,"F-WWDJ, VT-KFL, M-ABFP, OY-KAW SAS ""Tyke Viking""",2013-2025
,,,,,,,OY-JSW (2),"N20669, D-IWWP, OY-JSW, N994TS",2016-2025
4692182,2012.0,2021.09.17,(LN-TOB) (LN-AEJ) N915C,Piper PA-46R-350T Malibu Matrix,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-IMC,"N9531N, N915C, (LN-AEJ), (LN-TOB), OY-IMC, LN-IMC, OE-KLA",2021-2021
15-808,1981.0,2005.02.25,SE-ILB,SAAB-MFI 15-200A Safari,Malmö Flygindustri AB,"Linköping, Sweden",OY-ILB,"SE-ILB, OY-ILB, exported",2005-2025
14473,2021.0,2021.11.05,Cancelled 2025.09.23,Robinson R44 Clipper II,Robinson Helicopter Company  Inc,"Torrance, CA, USA",OY-HFS(3),"OY-HFS, DBR 4.10.2024 Vamdrup (EKVD) due to engine overspeed and resulting auto-rotation",2021-2025
