registration,type,construction_no,year_mfr,year_reg,icao,notes
OY-GIS,Vulcanair P.68C-TC,485-52/TC,2015,2015-2018,P68,"OY-GIS, BioFlight,  G-PDGV, EI-HPY, + 20.11.25 near Lisselan, Co Waterford"
OY-JES(1),Van's RV-8,81984,,,RV8,
OY-CUH,Aeritalia/SNIAS ATR 72-600,1152,2014,(2014),AT76,"F-WWEQ, (OY-CUH), PK-GAF, M-ABRL, Stored Francazal-Toulose april 2025, P2-ATR"
OY-RTE,Aeritalia/SNIAS ATR 72-202,154,1989,2004-2005,AT72,"F-WWEK, EC-383, EC-ESS, F-WQNF, OY-RTE Cimber Air, HB-AFJ (ATR 72-202F), EI-SLV, HB-AFJ, OE-LFM, HB-AFJ"
OY-KIN,McDonnell-Douglas MD-90-30,"53544
2197",1997,1997-2006,DC93,"SAS ""Tormod Viking"", TT 16042H, 14074C, København 2005, OH-BLD, N931DN, wfu and stored Blythville, AR 2020, scrapped"
OY-KKB,Boeing 737-683,"28293
120",1998,1998-1999,B736,"N1787B, OY-KKB SAS  ""Bera Viking"", LN-RPZ, WFU 2017, scrapped 2018"
OY-CKK (1),Dassault Falcon 900,110,1992,1992-2004,F900,"F-WWFH, OY-CKK Kirkbi A/S-Lego Systems, F-GHGO, N110FJ, C-GJPG, C-GJPT, N900EJ, N999EA, C-GEBA"
OY-HIS,Eurocopter AS350 B3 Ecureuil,4047,2006,2012-2022,AS50,"F-WQDG, LN-OOY, OY-HIS Blue West Helicopters Greenland ApS, TF-AHH, PK-IWS, +10.09.25 Jila, Mimika Regency, Central Papua"
OY-JED,Piper PA-28-161 Cadet,2841175,1989,1989-2023,P28A,"OY-JED, G-CMPH, N238FY"
OY-RYY,Reims Cessna F.172M Skyhawk,F17201116,1974,1974-2022,C172,"OY-RYY, Bornholm Air Service ApS, Icebird, SX-GGA"
OY-SVO,British Aerospace BAe 3112 Jetstream,773,1987,1995-1998,JS31,"G-31-773, C-FAMK, OY-SVO Sun-Air, SE-LGH, G-EIGG, ES-PJD, SE-LGH, YV-661T"
OY-XET (2),Siebert Sie 3,3016,1971,2025,,"BGA2347/DSQ, D-0813, D-9813, OY-XET Competition number A4. Donated to DaSK"
OY-NZK,Aeritalia/SNIAS ATR 72-212A Version 600,1323,2016,2025,,"F-WWEF, F-WTDK, CS-DJH, ES-ATL, OY-NZK, 3B-NCV"
OY-HYO,Robinson R44 Raven II,11146,2006,2014-2025,R44,"OO-RWJ, OY-HYO Tandlægehuset Odense ApS, ZT-HJF"
OY-HST (2),Robinson R44 Raven II,14071,2017,2021-2025,,"ES-TOP, OY-HST, ZT-HAE"
OY-PHK,Piper PA-28-161 Warrior III,2842253,2005,2005-2025,P28A,"N31258, OY-PHK Air Alpha, Thorsø af 2007 ApS, OO-SUN"
OY-YBD,Aeritalia /SNIAS ATR 72-212A,685,2002,(2016),,"F-WWEH, VN-B212, (OY-YBD), 9S-AAD, 2-SAAD, C-GKFY"
OY-XTO,Scheibe SF-25E Super Falke,4354,1980,1991-2025,SF25,"D-KDGO, G-BHAG, OY-XTO, competition number TO, exported"
OY-WTF,Aura Aero Integral R,008,2025,2025,,
OY-VKA (1),Airbus A321-211,1881,2002,2003-2015,A321,"D-AVZO, F-WWDQ, OY-VKA MyTravel Airways, Thomas Cook Airlines Scandinavia A/S, G-TCDY, C-GTXY, G-TCDY, F-WTAJ, 6V-AMC, WFU at Dakar 2025, LY-BQY"
OY-NZP,Embraer ERJ 190-200LR (195LR),19000530,,2025,,"PR-AXF, OY-NZP"
OY-NZO,Embraer ERJ 190-200LR (195LR),19000471,2011,2025,,"PR-AYX, OY-NZO"
OY-NZG,Aeritalia/SNIAS ATR 72-600 (72-212A),1121,2013,2024-2025,AT76,"F-WWEJ, OY-JZB ""Palnetoke Viking"", ES-ATG, 2019 stored EKBI, OY-JZB NAC, ES-ATG, OY-NZG, HK-5465 / FAC-1169"
OY-JZC,Aeritalia/SNIAS ATR 72-600 (72-212A),1120,2013,2014-2017,AT76,"F-WWEI, (JA01LK), (OY-EBW(2)), F-WKVH, OY-JZC SAS ""Torver Viking"", ES-ATE, OY-NZF, HK-5466 / FAC1167"
OY-NZF,Aeritalia/SNIAS ATR 72-600 (72-212A),1120,2013,20242025,AT76,"F-WWEI, (JA01LK), (OY-EBW(2)), F-WKVH, OY-JZC SAS ""Torver Viking"", ES-ATE, OY-NZF, HK-5466 / FAC1167"
OY-NZE,Aeritalia/SNIAS ATR 72-212A,853,2009,2025-2025,,"F-WWEW, G-VZON, F-WNUJ, N919AZ, OY-NZE"
OY-KAW,Airbus A320-232,2817,2006,2013-2025,A320,"F-WWDJ, VT-KFL, M-ABFP, OY-KAW SAS ""Tyke Viking"""
OY-JSW (2),Cessna 525A Citation CJ2+,525A-0444,2009,2016-2025,C25A,"N20669, D-IWWP, OY-JSW, N994TS"
OY-IMC,Piper PA-46R-350T Malibu Matrix,4692182,2012,2021-2021,PA46,"N9531N, N915C, (LN-AEJ), (LN-TOB), OY-IMC, LN-IMC, OE-KLA"
OY-ILB,SAAB-MFI-15-200A,15.808,1981,2005-2025,MF17,"SE-ILB, OY-ILB, exported"
OY-HFS(3),Robinson R44 Clipper II,14473,2021,2021-2025,,"OY-HFS, DBR 4.10.2024 Vamdrup (EKVD) due to engine overspeed and resulting auto-rotation"
OY-HAJ,Bell 47G-5,25003,1970,1970-2024,B47G,"(N8170J), OY-HAJ, G-HWKI"
OY-GWA,Cessna 208B Grand Caravan,208B0173,,2025,,"N4659B, OO-JMP, F-GXMP, OY-GWA"
OY-ECE,Cessna 172M Skyhawk,17262101,1973,1974-2025,C172,"N12596, OY-ECE, exported"
OY-CVS,Bombardier BD-700-1A10  Global Express,9139,2004,2005-2008,GLEX,"C-FYZP, OY-CVS Blue Aviation, (N939TS), VQ-BAM, M-GLEX, N764DB, N561RL"
OY-CKF,Dassault Falcon 2000,163,2001,2006-2009,F2TH,"F-WWVW, N163J, OY-CKF Osterbro Aviation A/S, G-CGHI, N755BB, N991CE, N991CL"
OY-BZE,Reims Cessna F.172N Skyhawk,F17201600,1977,1990-2025,C172,"D-EOTA, OY-BZE, exported"
OY-ZMB,Piper PA-28-151 Warrior,28-7715160,1977,2009-2015,P28A,"N5962F, SE-KFL, OY-ZMB Climb2, SE-KFL, D-ESSS"
OY-1046,AutoGyro Europe Calidus,D10C41,,,,"D-MCBY, OY-1046"
OY-9896,Aeroprakt A32,136,,,,OY-9896
OY-9757,TL-Ultralight TL-3000 Sirius,,,,,
OY-9607,Zephyr 2000,,,,,"OY-9607,"
OY-1040,Airgyro Aviation AG-915 IS Javelin,P.5.G.15.AA.007.L,,-2025,,"OY-1040, N664RW"
OY-RYW,Cessna U206F Stationair,U20601776,1972,1972-2016,C206,"(N9576G), OY-RYW, F-HNCM, DBR during an emergency landing near Seine-Maritime, France on 9. April 2017. The wreck stored in Caen, France (LFRK)"
OY-FFS,369,Tecnam P2006T,2022,2022-2024,,"OY-FFS, EW-590LL, EW-590AL"
OY-APK,Boeing 737-5L9,"28995
2947",1997,1997-2007,B735,"OY-APK Maersk Air, Sterling, UR-DNC, UR-GBB, N102ES, YV-3001, FAE640"
OY-CID,Aeritalia/SNIAS ATR 42-300,079,1988,1989-2004,AT43,"F-WWEE, D-BATA, OY-CID Cimber Air, EI-SLB, VH-TOQ, VH-YWU, P2-KSW"
OY-APL (2),Boeing 737-5L9,"28996
2998",1998,"1998-2001, 
2004-2007",B735,"OY-APL Maersk Air, SP-LKK, OY-APL, N737RH, PK-TVZ, T7-CTA
(D-ATCE), T7-CTA, UR-SYR, YK-SUR"
OY-VKD,Airbus A321-211,1960,2003,2005-2024,A321,"D-AVZG, G-EFPA, OY-VKD MyTravel Airways, Thomas Cook Airlines Scandinavia A/S, Sunclass Airlines, WFU and stored 2024 Ostrava, Cz Repl., LZ-FSI"
OY-VKH,Airbus A330-343X,356,2000,2000-2021,A333,"F-WWYJ, OY-VKH Premiair, MyTravel Airways, Thomas Cook Airlines Scandinavia A/S, N356UK, T7-SRS, N804CM, TC-GOL"
OY-UGG(2),Cirrus SR 22 GTS G7+ Platinum,10838,2025,2025,,"N838SU, OY-UGG(2)"
OY-NZJ,Aeritalia/SNIAS ATR 72-212A 600 Version,1316,2016,2025-2025,,"F-WWEV, F-WTDS, CS-DJG, ES-ATK, OY-NZJ, 3B-NCU"
OY-JZF,Aeritalia/SNIAS ATR 72-600 (72-212A),1165,2014,2014-2017,AT76,"F-WWEF, OY-JZF Jettime/SAS ""Skjalm Viking"", ES-ATD, OY-NZH, HK-5464"
OY-ZCC,Daher Kodiak 100,100-0083,,2025,,"N420Q, OY-ZCC"
OY-XBK,Scheibe SF-25B Falke,46254,1973,1973-1979,SF25,"(D-KATJ), OY-XBK, D-KDGJ, damaged 1.3.1982 in a storm at Marl, Germany, ZS-UTK, V5-GUT"
OY-VKG,Airbus A330-343X,349,2000,2000-2021,A333,"F-WWYG, OY-VKG Premiair, MyTravel Airways, Thomas Cook Airlines Scandinavia A/S, Sunclass Airlines, N349UK, T7-ULS to be converted to freighter, N803CM, TC-GOU"
OY-VKE(2),Airbus A.321-251NX,12679,2025,2025 Sunclass,,"D-AVZN, OY-VKE"
OY-VGA,Canadair CL-600-2B19 Challenger 850,8077,2007,2009-2018,CRJ2,"C-FOBI, OY-VGA ExecuJet Europe A/S, 9H-VGA, 9H-SAR"
OY-TEC,Tecnam P2010 TDI,342,,2025,,
OY-SSF,Cessna 172S Skyhawk SP,172S8190,1999,2008-2009,C172,"N369LP, OY-SSF, D-EIOH, OK-DEF, OE-KWK"
OY-SRT,Boeing 767-232BDSF,"22226 
78",1983,2015-2016,B762,"N114DL, N749AX, OY-SRT Star Air A/S, N749AX, WFU 2023"
OY-RAF,Europa,2011-06/313,2019,2025,EUPA,
OY-PMM,Piper PA-46-500TP Malibu Meridian,4697387,2008,2009-2010,P46T,"N9533N, OY-PMM Air Alpha Aircraft Sales A/S, D-ESOB, (D-FRAB), OK-RAB, OK-SRB, SP-MUE"
OY-LLG,Bombardier Challenger 604,6156,2020,2020-2024,CL60,"C-GUAW, OY-LLG, N585JP, N585PJ"
OY-JZV,Aeritalia/SNIAS ATR 72-500 (72-212A),789,2008,2015-2017,AT75,"F-WWEH, 4K-AZ65, OY-CLV NAC Nordic Aviation Capital A/S, F-GVZT, OY-JZV NAC Aviation 8 Limited, Jettime ""Gudlög Viking"", OK-NFU, 9H-AIU, scrapped 2024"
OY-JTM,Boeing 737-4Z9,"27094 
2432",1993,2015-2017,B734,"OE-LNI, UR-GAP, N837AC, OY-JTM Jettime, EI-STM, WFU St. Athan 2025, 2-ITSM"
OY-CKW,Dassault Falcon 2000,166,2002,2007-2008,F2TH,"F-WWVD, (N2259), F-WWVD, TC-DGC, OY-CKW Air Alsie A/S, F-WQBL, F-GVTC, (A6-SAF), OY-TJF Execujet Europe A/S, TC-RSN, T7-RSN, N926RC, N99RJ"
OY-BVB,Beech 200  Super King Air,BB-419,1979,1985-2006,BE20,"N555FP, N256EN, OY-BVB/UN454, Business Flight, Aviation Assistance, ZS-PPZ, 3B-"
OY-TEI (2),Piper PA-46-30P M350 Malibu Mirage,4636660,2015,2015,PA46,"N4432S, OY-TEI (2) RC Holding A/S"
OY-XBM (1),Glasflügel H-201B Standard Libelle,423,1973,1973-2012,,"OY-XBM competition number 85, BM, D-0906, PH-1561"
OY-VIN,Pilatus PC-12/47,872,2008,2008-2012,PC12,"HB-FQD(8), OY-VIN UAB ""ARVI"" ir Ko,  Lithauen, D-FSYB, 5X-KED, 5X-DBR"
OY-SUK,Cessna 152,15282543,1979,1990-2011,C152,"N69194, TF-FTG, OY-SUK, G-CGSP, D-    , PH-CPS"
OY-SCL,Piper PA-46-500TP Malibu Meridian,4697456,2011,(2020),PA46,"N9548N, C-GTTU, C-GLER, C-GUSI, (OY-SCL) Skan Service, C-GUSI"
OY-JBG,Piper PA-34-200 Seneca,34-7350211,1973,2009-2023,PA34,"SE-GAD, OH-PNE, (SE-LCA), SE-GAD, OY-JBG JEBO Gård, Center Flight ApS, PH-APF"
OY-HFY,Agusta AW 139,31295,2010,2018-2018,,"PH-EUD, G-SNSB, OY-HFY, 5N-BVQ, G-SNSB, (PR-JHA), PH-EUD"
OY-FRY,Piper PA-46-701TP M700 Fury,46020033,,2024 R,,"N33FY, OY-FRY"
OY-FFA (2),Tecnam P2006NG,1007,,2025,,"I-PDVF, OY-FFA Center Air"
OY-UGG(1),Piper PA-28-181 Archer LX,2881500,,2022-2022,,"N9551, N8028Q, OY-UGG, OE-KSN"
OY-GEX,Schleicher ASK-21B,211032,2025,2025,,Competition number GE
OY-YDU,Aeritalia/SNIAS ATR 72-600 (72-212A),1339,2016,2021-2022,,"F-WWEW, EI-FSL, OY-YDU, EI-FSL, G-CMFL"
OY-YGB,Bombardier DHC-8-402NG,4451,2013,2023-2023,,"C-GVWZ, SP-EQL, OY-YGB NAC, N4451B, JA472A"
OY-YGA,Bombardier DHC-8-402NG,4443,2013,2023-2023,,"C-GUIZ, SP-EQK, OY-YGA NAC, N4443B, JA471A"
OY-YFY(1),DHC-8 Series 402NG,4417,,(2023),,"C-GOCX, SP-EQE, (OY-YFY), OY-YFW(2), N4417F, JA468A"
OY-YFZ,Bombardier DHC-8-402NG,4442,2013,2023 (R),,"C-GUIT, SP-EQI, (OY-YFW), OY-YFZ NAC, N4442B, JA470A"
OY-YFW (1),Bomberdier DHC-8-402NG,4442,,(2023),,"C-GUIT, SP-EQI, (OY-YFW) NAC, OY-YFZ NAC, N4442B, JA470A"
OY-YDV,Aeritalia/SNIAS ATR-42-500 (42-212A),1012,2014,2021-2022,AT45,"F-WWLU, V2-LIK, OY-YDV, 2-YYDV, WFU 2024"
OY-LDA,Piper PA-46-500TP Malibu Meridian,4697147,2002,2002-2008,P46T,"(OY-PHB),OY-LDA, UR-CCZV, N391CC, (D-EVER), D-FLYY, N391CC"
OY-KFC,Bombardier CL-600-2D24 Regional Jet CRJ-900,15218,2009,2009-2016,CRJ9,"SAS ""Bertil Viking"", damaged EKCH 4.2.2016, scrapped for spare parts in EKCH, fire-fighting exercise area, EKCH"
OY-KBL,Airbus A321-232,1619,2001,2001-2023,A321,"D-AVZB, (SE-REK), OY-KBL SAS ""Gunnbjörn Viking"", N995CM, to be converted to a freighter, SP-WCA"
OY-GAY,Gulfstream GA-7 Cougar,GA7-0095,1979,,GA7,"N9527Z, (OY-GAY), G-BGON, canx by CAA 2025"
OY-FNX,Scheibe L-Spatz 55,303,1957,1969-1970,,"D-6424, OY-FNX, crashed 5.6.1970 Viborg, apperently rebuilt as D-6424, stored at Raná u Loun, Czech Republic by 2025"
OY-BLV,Nord 262A-30,37,1967,1976-1978,N262,"F-WNDC, F-BNDC, D-CADY, OY-BLV Cimber Air, N275A, HK-3878X, N275A, TG-JSG, WFU at Guatemala City"
OY-TCG(2),Airbus A321-211,6389,2014,2014,A321,"D-AVXW, OY-TCG, Thomas Cook Airlines Scandinavia A/S, Sunclass Airlines, dameged in a hard landing in Skiatos, Greece (LGSK) 15.9.2024, Will be scrapped Tallinn, Estonia (EETN)"
OY-XTM (2),Rolladen-Schneider LS 3-a,3147,1978,1995-2024,,"(D-6950), SE-TTK, OY-XTM, competition number TM, SP-4307, damaged 14.8.2025"
OY-YFF,Bombardier DHC-8 Series 402NG,4408,2012,2023-2023,,"C-GMYD, SP-EQC, OY-YFF, (G-EXTA), OY-YFF, N4408F, C-FIEK, JA467A"
OY-HZN,Eurocopter AS.350B3 Ecureuil,8857,2020,2022-2025,,"F-WWPN, LN-OXL, OY-HZN, Greenland Copter, ZK-HWD"
OY-FFT,Tecnam P2006T,364,2022,2022-2025,,"OY-FFT, EW-596AL"
OY-AGH,Reims Cessna F.172H Skyhawk,F1720485,1967,1968-2024,C172,"OY-AGH, ER-AGH"
OY-XHF,Glasflügel  H-303 Mosquito,25,1977,1977-1996,,"OY-XHF, competition number T7, SE-UTI, W/o 2025"
OY-VUX,Schleicher K.8B,756,1960,1960-1974,,"OY-VUX, LN-GAQ, SE-TXZ, CoA expired 2007, broken up in 2024"
OY-9485,Aeropilot Legend 540,,,,,"OY-9485, + 8.8.25.Lille Høm near Ringsted"
OY-68,Schneider Grunau IIB Baby II b,,1945,1945-1953,,"OY-68, OY-VAX, crashed. Cancelled 1972, OY-VAX, OK-8204"
OY-YDR,Embraer ERJ 190-200LR,19000029,2006,2021-2022,,"PT-SGD, G-FBEA, PK-KDA, EI-GEG, 4L-MGT, OY-YDR, N19029, OE-LMN, 5N-CEF"
OY-RLB,Boeing 767-200BDSF,22222,1983,2023-2025,,"N110DL, N745AX, SE-RLB, OY-RLB Maersk Air Cargo / Star Air, N745AX,"
OY-MBK,Boeing 737-4YO,"24911
2033",1991,1993-1993,B734,"(TC-AGA), PP-SOJ, PT-WBJ, (PH-OZB), (PH-ACH), OY-MBK Maersk Air, EI-CIX, SE-DTB ""Jämtland"", OK-TVS, HA-LKA, OK-TVS, PK-LIQ, DBR 2.11.2010 Supadio"
OY-MAP,Boeing 737-3L9,"27337
2594",1994,1994-1996,B733,"OY-MAP Maersk Air, D-ADBI, G-IGOU, LN-KKU, N581MS, PK-CKJ, wfu stored Guanghzhou, China"
OY-MAH,SOCATA MS.880B Rallye Club,2251,1973,2012-2024,RALL,"G-BAOI, OO-MAN, OY-MAH, LZ-PTC"
OY-LYR,Diamond DA40D Diamond Star,D4.340,2008,"(2009)
2013-2023",DA40,"SE-LYR, (OY-LYR), SE-LYR, OY-LYR, VT-VSP"
OY-HUD,Aerospatiale AS.350B3 Ecureuil,7152,2011,2011-2024,AS50,"F-WJXF, OY-HUD Air Greenland A/S, N715MQ, C-FJFV"
OY-CTB,McDonnell-Douglas DC-9-51,"47657
787",1975,1988-1990,DC95,"HB-ISN, SE-DFN, OY-CTB SAS ""Ingvar Viking"", I-SMEJ, N2248F, UR-BYL, 4L-GNN, WFU Tblisi 2012"
OY-CLO,Aeritalia/SNIAS ATR 42-500,667,2007,2013-2013,AT45,"F-WWLA, 4K-AZ52, OY-CLO NAC Aviation, PK-JKG, M-ABRS, PK-YSQ"
OY-CKS,Britten-Norman BN-2A-21 Islander,553,1976,2008-2025,BN2P,"G-BEFI, B-12/OT-ALL, G-BEFI, OY-CKS COWI A/S, F-HPXA"
OY-CIF,Aeritalia/SNIAS ATR 42-300,012A,1986,1990-1996,AT43,"F-WWEI, VH-AQC, YU-ALL, OY-CIF Cimber Air, F-WQBT, LY-ARI, SX-GRY, LY-ARI, WFU Kaunas 2024"
OY-APJ,Boeing 737-2L9,"21685
549",1978,"1979-1980, 
1982-1982,
1984-1984",B732,"OY-APJ Maersk, 9M-MBZ, OY-APJ, G-BKAP, OY-APJ, PP-SNO, PT-WBA, EI-CGZ, UR-BFA, PK-RIF, stored Jakarta CGK/VIII 2006, PK-MDC, broken up 2025"
OY-9493,Comco Ikarus C-42 Cyclone,0005-6268,,,,"D-MSDY, OY-9493"
OY-JYC,Boeing 737-8KN,40274/5465,2015,2025T,,"A6-FEY, 2-TWCA, OY-JYC"
OY-XXG,Schempp-Hirth Standard Cirrus,185,1972,2021-2025,,"D-0588, OY-XXG"
OY-XWA,Glaser-Dirks DG-800B,8-182B106,,(2023),,"HB-2347, (OY-XWA), HB-2347, W/O 11.6.22 Mont Tendre"
OY-VBG,Cessna R182 Skylane RG,R18201624,1980,2007-2010,C182,"N6144S, (D-ESTE), N6144S, D-ESHH(2), OY-VBG, N570EC, N404XX"
OY-TJF,Dassault Falcon 2000,166,2002,2011-2012,F2TH,"F-WWVD, (N22259), F-WWVD, TC-DGC, OY-CKW Air Alsie A/S, F-WQBL, F-GVTC, (A6-SAF), OY-TJF Execujet Europe A/S, TC-RSN, T7-RSN, N926RC, N99RJ"
OY-NOO,Kubicek BB42Z,1817,2021,2021-2024,,"OY-NOO, OK-1929"
OY-NBH,Diamond DA40 TDI Diamond Star,D4.359,2008,2010-2024,DA40,"OE-VDR, (D-ECCL(2)), SE-MBH, OY-NBH Kobbelair, stored in Aalborg, transported to Roskilde 13.3.2021, OO-SKE(2)"
OY-LDB,Piper PA-18 Super Cub 95,18-3216,,2025,,"53-4186, L-142, OL-L42, OO-ACG, N66AG, OO-ACG, OY-LDB"
OY-KBA,Airbus A340-313X,435,2001,2001-2022,A343,"F-WWJU, OY-KBA SAS ""Adalstein Viking"", wfu 11.2020 Pinal Airpark, AZ, B/U 2022"
OY-JTB,Boeing 737-3YO,"24464
1753",1989,2007-2017,B733,"EI-BZE, RP-C4010, OY-JTB Jettime, G-TGPG, WFU 2022"
OY-JSW (1),Cessna 510 Citation Mustang,510-0171,2009,2012-2015,C510,"N510PS, OY-JSW Staus A/S, C-FIPN, N69BA, N799AJ"
OY-JOH,Cameron N-77,10905,2007,2007-2023,,"OY-JOH, OO-BRB(2)"
OY-IPI,Reims Cessna FR.172K Hawk XP,FR172K0616,1977,1999-2003,C172,"D-EIPI, OY-IPI, G-YIPI, D-"
OY-HGP,Aerospatiale AS.350B3+ Ecureuil,4062,2006,2006-2025,AS50,"OY-HGP Air Greenland A/S, F-HRTL, EC-OPG"
OY-HGK,Aerospatiale AS.350B2 Ecureuil,2570,1991,1996-2015,AS50,"N32FH, C-FNJW, OY-HGK Air Greenland  ""Attavik"", TF-HDK, C-FDMK, N"
OY-HFD(2),Agusta/Westland AW189,49039,2016,2016-2017,A189,"I-EASO, OY-HFD Bel Air Aviation A/S, I-AWCU, RA-01698, HB-XLQ, OM-BYW"
OY-HDD,Bell 206B Jet Ranger III,3649,1982,1987-2025,B06,"N3982M, C-GTXA, N130S, OY-HDD Benair, G-CSHW"
OY-GDB(2),Embraer EMB-195-200LR,19000184,2008,2019-2025,E190,"PT-SDS, G-FBEL, EI-GGA, OY-GDB Great Dane Airlines, 4O-AOE"
OY-CIC,Aeritalia/SNIAS ATR 42-300,024,1986,1986-1999,AT43,"F-WWEC, OY-CIC Cimber Air, F-WQJL, SP-EEE, F-WQNE, EI-SLE, VH-TOX, Stored Brisbane 2022"
OY-CCS,Beech A100 King Air,B-160,1973,1986-1989,BE10,"N925B, N396DP, N896DR, (N806DR), N896SB,  OY-CCS, N896SB, B/U"
OY-BYU,Beech 99 Airliner,U-57,1969,1985-1990,BE99,"N1173C, F-BSUZ, OY-BYU Muk Air, TF-ELD, C-GNAL, N1036C, N203BH, C-GNAL, N799TS, C-"
OY-BED,Beech 76 Duchess,ME-352,1980,1980-1996,BE76,"EI-BHS, OY-BED North Flying, G-CBBF, WFU 2025"
OY-GAJ,Grumman-American AA-5A Cheetah,AA5A-0083,1975,1976-2009,AA5,"(N9583U), OY-GAJ, crashed"
OY-TXY,Diamond HK-36TC  Super Dimona,36716,2002,2002-2009,DIMO,"OY-TXY competition number SY, SE-URG, PH-1721"
OY-FFA (1),Piper PA-46-350P Malibu Mirage,4622099,1990,1991-1992,PA46,"SE-KMC, OY-FFA, D-EIFA, OK-SMT, SP-KNT"
OY-YEJ,Aeritalia/SNIAS ATR 72-212A,1262,2015,2023-2023,,"F-WWEN, 9M-FIG, 2-MFIG, UR-RWB, OY-YEJ, PS-VPA, 9H-ALA,  SE-MNR"
OY-SFH (2),Pilatus PC-6/B2-H4  Turbo Porter,778,1977,1996-2002,PC6T,"LV-MAE (PC-6/B2-H2), (D-FHPK), N117SA, (conv. to PC-6/B2-H4) OY-SFH, I-PSFH, T7-SFH, S5-CEI, crashed 20.5.2017 at Aviosuperficie Cecina, Italy (LIQG), restored and is on display at Swiss transport museum, Luzern with false registration ""HB-FGE"""
OY-XTH,Schempp-Hirth  Standard Cirrus,363,1973,1991-2025,,"D-2153, OY-XTH, competition number TH"
OY-VNS,Vulcanair Partenavia P.68C,511/C,2020,2020-2025,P68,"OY-VNS Bioflight, EI-HPG"
OY-POT,Piaggio FW-P.149D,016,1959,1976-2025,P149,"BD+392, 90+08, D-EOPG, OY-POT, PH-POT"
OY-NZC,Aeritalia/SNIAS ATR-72-212A 600 Version,1056,2012,2025-2025,,"F-WWEQ, VT-CJX, EI-GIV, ES-ATJ, OE-LTJ, OY-NZC, EC-OOP"
OY-NAL,Maule M-7-235 Super Rocket,4004C,1983,2019-2025,M7,"N56562, OY-PJA, F-HFAA, OY-NAL, crashed 5-9-2024 Roskilde (EKRK)"
OY-MXO,Schempp-Hirth  Ventus 2cxT,177,2006,2007-2025,VENT,"(OH-968), D-KMXO, OY-MXO competition number MO Foreningen Mosegrisens Syndikat,"
OY-KAT,Airbus A320-232,3192,2007,2013-2025,A320,"F-WWIT, VT-INK, OY-KAT SAS ""Hildegun Viking"", ZS-SZL"
OY-JYD,Boeing 737-8SA,44221/5017,,2025,,"9V-MGE, VQ-CAG, OY-JYD Jettime"
OY-HJY,Bell 505 Jet Ranger X,65062,2018,2018-2025,B505,
OY-GOS,Cameron V-77,2963,1995,1995-2025,,
OY-EVA (2),Evektor SportStar RTC,20212144,2021,2021-2025,,
OY-CIA (1),Aeritalia/SNIAS ATR 42-300,005,1985,"1985-1987,
2001-2001",AT43,"(F-WEGE), F-WWEA, OY-CIA Cimber Air, F-GEDZ, YU-ALM, F-WGZH, F-GHPZ, OY-CIA, F-GHPZ, EI-SLD, LY-OOV, wfu, on display at Babilono Sodai Park and Garden, Palanga, Lithauania"
OY-RUZ,Airbus A320-232,839,1998,2018-2025,A320,"F-WWBE, VP-BVC, EI-DFW, HA-LPA, PK-GLD, OY-RUZ Danish Air Transport, ferried 16.12.24 for parting out at St Athan, UK. Will be shipped to China, to be reassembled as a training aid."
OY-EFC,C.Z.A.L. Aero 45S Super,03-007,1956,1981-1987,AE45,"OK-K.., (D-EGAM), D-GGAM, (G-BFAZ), OY-EFC, OH-EFC, ES-ART"
OY-JZB,Aeritalia/SNIAS ATR 72-600 (72-212A),1121,2013,"2013-2018
2020-2022",AT76,"F-WWEJ, OY-JZB ""Palnetoke Viking"", ES-ATG, 2019 stored EKBI, OY-JZB NAC, ES-ATG, OY-NZG, HK5465 / FAC-1169"
OY-RUS,Airbus A320-231,447,1993,2015-2022,A320,"F-WWDO, VR-HYU, B-HYU, N447TM, C-FRAR, N447MX, XA-UAH,     CC-ADO, OY-RUS Danish Air Transport Leasing A/S, wfu and stored as N330GR 2019, Beijing Eternity Technologies as instructional airframe 2025"
OY-PCN,Aeritalia/SNIAS ATR 42-300,230,1991,2013-2013,AT43,"F-GKNC, OY-PCN Nordic Aviation Contractor, TT-ABE , TT-TOB"
OY-HLS,Eurocopter EC120 B Colibri,1453,2006,2006-2016,EC20,"F-WWPN, F-WQVX, OY-HLS Zinco A/S, (5B-), SX-HZS, (OY-HJM), F-HBVS"
OY-HJM (2),Eurocopter EC 120B Colibri,1453,,(2024),,"F-WWPN, F-WQVX, OY-HLS, (5B-...) SX-HZS, (OY-HJM), F-HBVS"
OY-CCG,Cessna 650 Citation III,650-0003,1983,1990-2000,C650,"N653CC, HZ-AAA, N187CP, N92LA, 
OY-CCG Air Alsie, N166MC, N411SL, CC-AGR, WFU 2023 Santiago de Chile"
OY-CBC,Mooney M.20K  Mooney 231,25-0169,1979,"1979-1982, 
1989-1990",M20T,"OY-CBC, LN-DBW, OY-CBC, SE-KNG, OE-KMS"
OY-DXJ,Schneider Grunau  Baby III,E-1,1953,1968-1970,,"D-4000, D-4611, OY-DXJ, WFU and burned in a bonfire 6.1971 at Rø airfield, Bornholm"
OY-TAB,Dassault Falcon 7X,225,2013,2025,,"F-EEZP, TC-SZA, (D-ABRK), N685AB, OY-TAB Air Alsie"
OY-SIS,Hawker Beechcraft 400A Beechjet,RK-162,1997,2001-2004,BE40,"N2362G, ZS-PDB, N2362G, OY-SIS Saifin Air, N520CH, OE-GMC, OK-PMI, N612SA, OK-TIP, PS-HMP, PS-LGU"
