registration,type,construction_no,year_mfr,year_reg,icao,notes
OY-MMX,Rolladen-Schneider LS 1-o,2,1968,"1971-2006
2020",,"D-4734, OY-MMX, competition number 28, D-0280, donated to DaSK (2019), OY-MMX"
OY-LJG,Learjet 45,45-083,2000,2000-2004,LJ45,"N5013Y, OY-LJG Execujet ""Lady Benedikta"", ZS-TJS, (N830LJ), ZS-TJS"
OY-JRF (1),Beech 1900C Airliner,UB-66,1986,1998-2006,B190,"N3044C, N823BE, F-OJAS, F-GTOT, OY-JRF Danish Air Transport, C-FPCX, N190PM"
OY-JPA,Piper PA-28RT-201  Arrow IV,28R-7918101,1979,2000-2020,P28T,"SE-IAY, OY-JPA, LZ-AOI"
OY-GEG (1),Beech 1900C-1 Airliner,UC-132,1990,"1994-1995
1996-2005",B190,"N55201, OY-GEG Aviation Assistance, damaged by shelling  Aden, Yemen 7.1994. (1180 Yemen AF). Rebuilt OY-GEG, 5Y-BTF, N119WF, VH-VAQ(2), N332LC"
OY-BLF,Piper PA-31-350 Chieftain,31-7552114,1975,"1975-1977 
1980-1994",PA31,"N59704, OY-BLF, G-BEPU, OY-BLF, SE-LCM, (N350TT), N745BC, N692LS, N997SW, P4-AAB, N585DJ, slettet"
OY-GCC,Britten-Norman Islander BN2A-21,541,1976,2020,BN2,"G-BEDW, Belgian Army B-10/OT-ALJ, G-BEDW, G-JPEG, OY-GCC"
OY-ERI,Piper Pa-28R-201 Cherokee Arrow III,28R-7837299,1978,(2008),P28R,"N39501, OO-TRI, (OY-ERI), OO-TRI, PH-SAC"
OY-ELM,Bölkow Bö 208C  Junior 3,699,1969,2002-2020,JUNR,"D-EABM, D-EABI, OY-ELM, D-EYDU"
OY-EDN,Aeritalia/SNIAS ATR 42-300,226,1990,2013-2013,AT43,"F-GKNB, OY-EDN Nordic Aviation Contractor, EC-LYZ, N111AV, broken up in USA 2018"
OY-DWX,SZD-30 Pirat,B-500,1972,2020,,"DM-1823, DDR-1823, D-4823, OY-DWX DaSK"
